u	v	x_coord	y_coord	coef0	coef1	coef2	feat1	feat2	y
37	0	7.551020	0.000000	1.000000	2.000000	3.000000	-1.959670	0.918454	-0.375857
38	0	7.755102	0.000000	1.000000	2.000000	3.000000	-1.328186	-1.245717	-5.605404
39	0	7.959184	0.000000	1.000000	2.000000	3.000000	0.196861	0.054934	1.346645
40	0	8.163265	0.000000	5.000000	0.500000	3.000000	0.738467	-0.709580	3.028614
41	0	8.367347	0.000000	5.000000	0.500000	3.000000	0.171368	-1.258505	1.098290
42	0	8.571429	0.000000	5.000000	0.500000	3.000000	-0.115648	-0.217017	4.079245
43	0	8.775510	0.000000	5.000000	0.500000	3.000000	-0.301104	-0.308483	3.712120
44	0	8.979592	0.000000	5.000000	0.500000	3.000000	-1.478522	2.426716	11.329009
45	0	9.183673	0.000000	5.000000	0.500000	3.000000	-0.719844	0.432960	5.727078
46	0	9.387755	0.000000	5.000000	0.500000	3.000000	-0.460639	-1.377618	0.424948
47	0	9.591837	0.000000	5.000000	0.500000	3.000000	1.057122	-0.564774	3.622359
48	0	9.795918	0.000000	5.000000	0.500000	3.000000	0.343618	1.021383	8.024079
49	0	10.000000	0.000000	5.000000	0.500000	3.000000	-1.763040	2.088443	10.171928
0	1	0.000000	0.204082	0.000000	4.000000	-3.000000	0.324084	-1.585983	5.842406
1	1	0.204082	0.204082	0.000000	4.000000	-3.000000	-0.385082	-1.879924	3.887564
2	1	0.408163	0.204082	0.000000	4.000000	-3.000000	-0.676922	1.870965	-8.532463
3	1	0.612245	0.204082	0.000000	4.000000	-3.000000	0.611676	0.389614	1.065983
4	1	0.816327	0.204082	0.000000	4.000000	-3.000000	1.031000	-0.868293	6.516996
5	1	1.020408	0.204082	0.000000	4.000000	-3.000000	0.931280	0.534629	1.909353
6	1	1.224490	0.204082	0.000000	4.000000	-3.000000	-0.839218	-2.635748	4.338493
7	1	1.428571	0.204082	0.000000	4.000000	-3.000000	-0.309212	0.003376	-1.458856
8	1	1.632653	0.204082	0.000000	4.000000	-3.000000	0.331263	0.327821	0.129710
9	1	1.836735	0.204082	0.000000	4.000000	-3.000000	0.975545	0.924270	0.917490
10	1	2.040816	0.204082	0.000000	4.000000	-3.000000	-0.479174	-1.013896	0.913111
11	1	2.244898	0.204082	0.000000	4.000000	-0.500000	-0.185659	0.085687	-0.997359
12	1	2.448980	0.204082	0.000000	4.000000	-0.500000	-1.106335	-0.925425	-4.174507
13	1	2.653061	0.204082	0.000000	4.000000	-0.500000	-1.196207	0.255384	-5.124398
14	1	2.857143	0.204082	0.000000	4.000000	-0.500000	0.812526	-0.895346	3.485897
15	1	3.061224	0.204082	0.000000	4.000000	-0.500000	1.356240	-0.408101	5.417131
16	1	3.265306	0.204082	0.000000	4.000000	-0.500000	-0.072010	-0.995815	-0.002013
17	1	3.469388	0.204082	0.000000	4.000000	-0.500000	1.003533	0.651136	3.476684
18	1	3.673469	0.204082	0.000000	4.000000	-0.500000	0.361636	0.858451	0.805439
19	1	3.877551	0.204082	1.000000	2.000000	-0.500000	-0.645120	-0.234621	-0.384809
20	1	4.081633	0.204082	1.000000	2.000000	-0.500000	0.361396	0.038238	1.491792
21	1	4.285714	0.204082	1.000000	2.000000	-0.500000	1.538037	-1.448591	4.588489
22	1	4.489796	0.204082	1.000000	2.000000	-0.500000	-0.035826	-0.299677	0.866306
23	1	4.693878	0.204082	1.000000	2.000000	-0.500000	1.564644	-0.050205	3.942510
24	1	4.897959	0.204082	1.000000	2.000000	-0.500000	-2.619745	2.620793	-5.761767
25	1	5.102041	0.204082	1.000000	2.000000	-0.500000	0.821903	-1.111967	2.987909
26	1	5.306122	0.204082	1.000000	2.000000	-0.500000	0.087047	1.464177	0.230126
27	1	5.510204	0.204082	1.000000	2.000000	-0.500000	-0.299007	0.996859	-0.308324
28	1	5.714286	0.204082	1.000000	2.000000	-0.500000	0.091761	0.280636	0.831324
29	1	5.918367	0.204082	1.000000	2.000000	-0.500000	-1.987569	1.758620	-4.066328
30	1	6.122449	0.204082	1.000000	2.000000	-0.500000	-0.219672	0.372105	0.162724
31	1	6.326531	0.204082	1.000000	2.000000	3.000000	0.357113	0.389159	2.669823
32	1	6.530612	0.204082	1.000000	2.000000	3.000000	1.477894	-0.053121	3.584546
33	1	6.734694	0.204082	1.000000	2.000000	3.000000	-0.518270	1.223569	3.422286
34	1	6.938776	0.204082	1.000000	2.000000	3.000000	-0.808494	1.096469	2.460541
35	1	7.142857	0.204082	1.000000	2.000000	3.000000	-0.501757	-0.625677	-2.092426
36	1	7.346939	0.204082	1.000000	2.000000	3.000000	0.915402	-1.319247	-1.338817
37	1	7.551020	0.204082	1.000000	2.000000	3.000000	0.328751	-0.202981	0.836680
38	1	7.755102	0.204082	1.000000	2.000000	3.000000	-0.529760	-0.800039	-2.671516
39	1	7.959184	0.204082	5.000000	0.500000	3.000000	0.513267	-0.063525	4.854180
40	1	8.163265	0.204082	5.000000	0.500000	3.000000	0.097078	1.237438	8.548973
41	1	8.367347	0.204082	5.000000	0.500000	3.000000	0.968645	-0.457302	3.900538
42	1	8.571429	0.204082	5.000000	0.500000	3.000000	-0.702053	-0.042823	4.308623
43	1	8.775510	0.204082	5.000000	0.500000	3.000000	-0.327662	0.058023	4.798357
44	1	8.979592	0.204082	5.000000	0.500000	3.000000	-0.392108	0.848431	7.137359
45	1	9.183673	0.204082	5.000000	0.500000	3.000000	-1.463515	-2.246889	-2.684305
46	1	9.387755	0.204082	5.000000	0.500000	3.000000	0.296120	-0.606700	3.116079
47	1	9.591837	0.204082	5.000000	0.500000	3.000000	0.261055	0.211284	5.552499
48	1	9.795918	0.204082	5.000000	0.500000	3.000000	0.005113	1.200079	8.390914
49	1	10.000000	0.204082	5.000000	0.500000	3.000000	-0.234587	-0.491902	3.195119
0	2	0.000000	0.408163	0.000000	4.000000	-3.000000	-1.415371	-1.876553	-0.243705
1	2	0.204082	0.408163	0.000000	4.000000	-3.000000	-0.420645	0.619711	-3.753595
2	2	0.408163	0.408163	0.000000	4.000000	-3.000000	-0.342715	-0.635362	0.323349
3	2	0.612245	0.408163	0.000000	4.000000	-3.000000	-0.802277	-1.189667	0.148011
4	2	0.816327	0.408163	0.000000	4.000000	-3.000000	-0.161286	-0.624345	1.016013
5	2	1.020408	0.408163	0.000000	4.000000	-3.000000	0.404051	-0.184525	1.957900
6	2	1.224490	0.408163	0.000000	4.000000	-3.000000	1.886186	-0.604745	9.147098
7	2	1.428571	0.408163	0.000000	4.000000	-3.000000	0.174578	-2.205566	7.103130
8	2	1.632653	0.408163	0.000000	4.000000	-3.000000	0.257550	0.897066	-1.872877
9	2	1.836735	0.408163	0.000000	4.000000	-3.000000	-0.074446	1.274875	-4.334289
10	2	2.040816	0.408163	0.000000	4.000000	-3.000000	-1.918771	0.651522	-9.841531
11	2	2.244898	0.408163	0.000000	4.000000	-3.000000	-0.026514	-1.137686	3.095122
12	2	2.448980	0.408163	0.000000	4.000000	-0.500000	0.060230	-0.201492	0.129787
13	2	2.653061	0.408163	0.000000	4.000000	-0.500000	2.463242	-0.006521	9.644349
14	2	2.857143	0.408163	0.000000	4.000000	-0.500000	-0.192361	0.598794	-1.280721
15	2	3.061224	0.408163	0.000000	4.000000	-0.500000	0.301547	0.668340	0.660139
16	2	3.265306	0.408163	0.000000	4.000000	-0.500000	-0.034712	-0.734174	0.016360
17	2	3.469388	0.408163	0.000000	4.000000	-0.500000	-1.168678	0.081996	-4.927590
18	2	3.673469	0.408163	1.000000	2.000000	-0.500000	1.142823	0.457280	2.845126
19	2	3.877551	0.408163	1.000000	2.000000	-0.500000	0.751933	1.455822	1.564075
20	2	4.081633	0.408163	1.000000	2.000000	-0.500000	0.791032	0.704507	2.017931
21	2	4.285714	0.408163	1.000000	2.000000	-0.500000	-0.909387	0.789057	-1.425183
22	2	4.489796	0.408163	1.000000	2.000000	-0.500000	1.402794	0.083827	3.551795
23	2	4.693878	0.408163	1.000000	2.000000	-0.500000	-1.401851	1.410459	-2.720812
24	2	4.897959	0.408163	1.000000	2.000000	-0.500000	0.586857	0.409763	1.756953
25	2	5.102041	0.408163	1.000000	2.000000	-0.500000	2.190456	-0.861088	5.599575
26	2	5.306122	0.408163	1.000000	2.000000	-0.500000	-0.990536	1.403370	-1.894637
27	2	5.510204	0.408163	1.000000	2.000000	-0.500000	-0.566298	0.697903	-0.693427
28	2	5.714286	0.408163	1.000000	2.000000	-0.500000	0.099651	-0.443044	1.208945
29	2	5.918367	0.408163	1.000000	2.000000	-0.500000	-0.503476	-0.479493	0.020915
30	2	6.122449	0.408163	1.000000	2.000000	-0.500000	-1.550663	0.296576	-2.461494
31	2	6.326531	0.408163	1.000000	2.000000	-0.500000	0.068563	0.463185	0.693654
32	2	6.530612	0.408163	1.000000	2.000000	3.000000	-1.062304	0.197292	-0.744610
33	2	6.734694	0.408163	1.000000	2.000000	3.000000	0.473592	0.311309	2.669231
34	2	6.938776	0.408163	1.000000	2.000000	3.000000	-0.919424	1.699957	4.049144
35	2	7.142857	0.408163	1.000000	2.000000	3.000000	1.549934	1.071543	7.102618
36	2	7.346939	0.408163	1.000000	2.000000	3.000000	-0.783253	0.190636	-0.206480
37	2	7.551020	0.408163	1.000000	2.000000	3.000000	-0.322062	0.941311	2.967929
38	2	7.755102	0.408163	5.000000	0.500000	3.000000	0.813517	-1.032524	2.097307
39	2	7.959184	0.408163	5.000000	0.500000	3.000000	-1.230864	0.397927	5.366469
40	2	8.163265	0.408163	5.000000	0.500000	3.000000	0.227460	1.809306	10.329769
41	2	8.367347	0.408163	5.000000	0.500000	3.000000	1.307143	-0.218046	4.787554
42	2	8.571429	0.408163	5.000000	0.500000	3.000000	-1.607483	-0.847634	1.441477
43	2	8.775510	0.408163	5.000000	0.500000	3.000000	0.184634	-0.652089	2.924170
44	2	8.979592	0.408163	5.000000	0.500000	3.000000	0.259883	-1.089633	1.649162
45	2	9.183673	0.408163	5.000000	0.500000	3.000000	0.781823	-0.784762	2.824746
46	2	9.387755	0.408163	5.000000	0.500000	3.000000	-1.236951	-0.370508	3.058121
47	2	9.591837	0.408163	5.000000	0.500000	3.000000	-1.320457	-1.405567	-0.088809
48	2	9.795918	0.408163	5.000000	0.500000	3.000000	0.521942	0.015618	5.095946
49	2	10.000000	0.408163	5.000000	0.500000	3.000000	0.296985	0.902277	7.643444
0	3	0.000000	0.612245	0.000000	4.000000	-3.000000	0.250493	-0.907756	3.513360
1	3	0.204082	0.612245	0.000000	4.000000	-3.000000	0.346448	1.519284	-3.383939
2	3	0.408163	0.612245	0.000000	4.000000	-3.000000	-0.680025	0.510792	-4.464355
3	3	0.612245	0.612245	0.000000	4.000000	-3.000000	0.232254	1.030581	-2.374607
4	3	0.816327	0.612245	0.000000	4.000000	-3.000000	0.293072	-0.657835	2.933914
5	3	1.020408	0.612245	0.000000	4.000000	-3.000000	-0.714351	0.854525	-5.632861
6	3	1.224490	0.612245	0.000000	4.000000	-3.000000	1.865775	-1.091934	10.527020
7	3	1.428571	0.612245	0.000000	4.000000	-3.000000	0.473833	0.890248	-0.987291
8	3	1.632653	0.612245	0.000000	4.000000	-3.000000	-1.191303	0.171839	-5.492612
9	3	1.836735	0.612245	0.000000	4.000000	-3.000000	0.656554	0.553251	0.754581
10	3	2.040816	0.612245	0.000000	4.000000	-3.000000	-0.974682	-1.175595	-0.583823
11	3	2.244898	0.612245	0.000000	4.000000	-3.000000	0.787085	-0.895070	5.621668
12	3	2.448980	0.612245	0.000000	4.000000	-3.000000	1.158596	0.597228	2.630818
13	3	2.653061	0.612245	0.000000	4.000000	-0.500000	-0.820682	-0.948348	-3.020435
14	3	2.857143	0.612245	0.000000	4.000000	-0.500000	0.963376	0.463206	3.410022
15	3	3.061224	0.612245	0.000000	4.000000	-0.500000	0.412781	-1.367138	2.122813
16	3	3.265306	0.612245	0.000000	4.000000	-0.500000	0.822060	0.848174	2.652274
17	3	3.469388	0.612245	1.000000	2.000000	-0.500000	1.896793	-1.232523	5.197968
18	3	3.673469	0.612245	1.000000	2.000000	-0.500000	-0.245388	0.552300	0.021194
19	3	3.877551	0.612245	1.000000	2.000000	-0.500000	-0.753736	0.625631	-1.032168
20	3	4.081633	0.612245	1.000000	2.000000	-0.500000	-0.889514	-0.696772	-0.642523
21	3	4.285714	0.612245	1.000000	2.000000	-0.500000	-0.815810	0.582027	-1.134514
22	3	4.489796	0.612245	1.000000	2.000000	-0.500000	-0.077102	0.260442	0.503696
23	3	4.693878	0.612245	1.000000	2.000000	-0.500000	0.341152	-0.538842	1.739845
24	3	4.897959	0.612245	1.000000	2.000000	-0.500000	0.276691	-1.008555	1.845779
25	3	5.102041	0.612245	1.000000	2.000000	-0.500000	0.827183	-1.962626	3.423800
26	3	5.306122	0.612245	1.000000	2.000000	-0.500000	0.013002	0.349650	0.639299
27	3	5.510204	0.612245	1.000000	2.000000	-0.500000	1.453534	-1.564803	4.477590
28	3	5.714286	0.612245	1.000000	2.000000	-0.500000	-0.264657	0.095344	0.211134
29	3	5.918367	0.612245	1.000000	2.000000	-0.500000	2.720169	-0.263448	6.360183
30	3	6.122449	0.612245	1.000000	2.000000	-0.500000	0.625667	0.679143	1.699883
31	3	6.326531	0.612245	1.000000	2.000000	-0.500000	-0.857158	-0.302045	-0.775172
32	3	6.530612	0.612245	1.000000	2.000000	-0.500000	-1.070892	-0.329448	-1.188941
33	3	6.734694	0.612245	1.000000	2.000000	3.000000	0.482472	0.731871	3.948677
34	3	6.938776	0.612245	1.000000	2.000000	3.000000	-0.223463	0.335058	1.346369
35	3	7.142857	0.612245	1.000000	2.000000	3.000000	0.714000	0.316156	3.164589
36	3	7.346939	0.612245	1.000000	2.000000	3.000000	0.473238	0.469268	3.142398
37	3	7.551020	0.612245	5.000000	0.500000	3.000000	-0.072829	-1.535572	0.144989
38	3	7.755102	0.612245	5.000000	0.500000	3.000000	-0.846794	0.756789	6.635089
39	3	7.959184	0.612245	5.000000	0.500000	3.000000	-1.514847	0.612469	5.868103
40	3	8.163265	0.612245	5.000000	0.500000	3.000000	-0.446515	-1.016683	1.514813
41	3	8.367347	0.612245	5.000000	0.500000	3.000000	0.856399	-0.244080	4.484078
42	3	8.571429	0.612245	5.000000	0.500000	3.000000	0.214094	-0.039307	4.777245
43	3	8.775510	0.612245	5.000000	0.500000	3.000000	-1.245739	-0.134497	3.761760
44	3	8.979592	0.612245	5.000000	0.500000	3.000000	0.173181	0.333860	5.876291
45	3	9.183673	0.612245	5.000000	0.500000	3.000000	0.385317	1.431367	9.274879
46	3	9.387755	0.612245	5.000000	0.500000	3.000000	-0.883857	1.081767	7.591492
47	3	9.591837	0.612245	5.000000	0.500000	3.000000	0.153725	-1.312219	0.928325
48	3	9.795918	0.612245	5.000000	0.500000	3.000000	0.058209	0.622070	6.683434
49	3	10.000000	0.612245	5.000000	0.500000	3.000000	-1.142970	1.328933	8.203435
0	4	0.000000	0.816327	0.000000	4.000000	-3.000000	0.357787	0.386809	0.058844
1	4	0.204082	0.816327	0.000000	4.000000	-3.000000	0.560785	1.090980	-1.241683
2	4	0.408163	0.816327	0.000000	4.000000	-3.000000	1.083051	2.012270	-1.916486
3	4	0.612245	0.816327	0.000000	4.000000	-3.000000	1.053802	1.023710	0.932200
4	4	0.816327	0.816327	0.000000	4.000000	-3.000000	-1.377669	0.249309	-6.470483
5	4	1.020408	0.816327	0.000000	4.000000	-3.000000	-0.937825	1.045088	-7.098445
6	4	1.224490	0.816327	0.000000	4.000000	-3.000000	0.515035	0.144888	1.413598
7	4	1.428571	0.816327	0.000000	4.000000	-3.000000	0.513786	0.023903	1.771555
8	4	1.632653	0.816327	0.000000	4.000000	-3.000000	0.515048	-0.351414	2.902554
9	4	1.836735	0.816327	0.000000	4.000000	-3.000000	3.852731	1.563413	10.508806
10	4	2.040816	0.816327	0.000000	4.000000	-3.000000	0.570891	-0.818429	4.526968
11	4	2.244898	0.816327	0.000000	4.000000	-3.000000	1.135566	1.532368	-0.266720
12	4	2.448980	0.816327	0.000000	4.000000	-3.000000	0.954002	0.499864	2.104535
13	4	2.653061	0.816327	0.000000	4.000000	-3.000000	0.651391	-1.399306	6.591604
14	4	2.857143	0.816327	0.000000	4.000000	-0.500000	-0.315269	0.367649	-1.656781
15	4	3.061224	0.816327	0.000000	4.000000	-0.500000	0.758969	-2.100027	3.874010
16	4	3.265306	0.816327	1.000000	2.000000	-0.500000	-0.772825	0.625508	-1.070284
17	4	3.469388	0.816327	1.000000	2.000000	-0.500000	-0.236819	0.885231	-0.128133
18	4	3.673469	0.816327	1.000000	2.000000	-0.500000	-0.485364	-0.592356	0.113571
19	4	3.877551	0.816327	1.000000	2.000000	-0.500000	0.081874	0.123548	0.890095
20	4	4.081633	0.816327	1.000000	2.000000	-0.500000	2.314659	1.954157	4.440359
21	4	4.285714	0.816327	1.000000	2.000000	-0.500000	-1.867265	-0.505747	-2.693537
22	4	4.489796	0.816327	1.000000	2.000000	-0.500000	0.686260	-1.058908	2.690094
23	4	4.693878	0.816327	1.000000	2.000000	-0.500000	-1.612716	1.481663	-3.178143
24	4	4.897959	0.816327	1.000000	2.000000	-0.500000	-0.471932	1.962587	-1.137037
25	4	5.102041	0.816327	1.000000	2.000000	-0.500000	1.088951	0.003696	2.964174
26	4	5.306122	0.816327	1.000000	2.000000	-0.500000	0.064280	1.011463	0.410949
27	4	5.510204	0.816327	1.000000	2.000000	-0.500000	-1.077745	1.341476	-2.038107
28	4	5.714286	0.816327	1.000000	2.000000	-0.500000	-0.715304	-0.742484	-0.271245
29	4	5.918367	0.816327	1.000000	2.000000	-0.500000	0.679598	-0.485306	2.389969
30	4	6.122449	0.816327	1.000000	2.000000	-0.500000	-0.730367	1.230875	-1.288050
31	4	6.326531	0.816327	1.000000	2.000000	-0.500000	0.216459	1.685014	0.378530
32	4	6.530612	0.816327	1.000000	2.000000	-0.500000	0.045572	0.562881	0.597823
33	4	6.734694	0.816327	1.000000	2.000000	-0.500000	-0.651600	-0.879814	-0.075173
34	4	6.938776	0.816327	1.000000	2.000000	3.000000	2.143944	1.987061	11.037192
35	4	7.142857	0.816327	1.000000	2.000000	3.000000	0.633919	-0.530971	0.463046
36	4	7.346939	0.816327	5.000000	0.500000	3.000000	-2.025143	-0.335138	2.770136
37	4	7.551020	0.816327	5.000000	0.500000	3.000000	0.186454	0.342338	5.908361
38	4	7.755102	0.816327	5.000000	0.500000	3.000000	-0.661786	1.554160	9.119708
39	4	7.959184	0.816327	5.000000	0.500000	3.000000	0.852433	0.853976	7.776265
40	4	8.163265	0.816327	5.000000	0.500000	3.000000	-0.792521	0.414866	5.636456
41	4	8.367347	0.816327	5.000000	0.500000	3.000000	-0.114736	0.463289	6.120618
42	4	8.571429	0.816327	5.000000	0.500000	3.000000	0.504987	0.043515	5.171158
43	4	8.775510	0.816327	5.000000	0.500000	3.000000	0.865755	0.558140	6.895416
44	4	8.979592	0.816327	5.000000	0.500000	3.000000	-1.200296	-2.529560	-3.400708
45	4	9.183673	0.816327	5.000000	0.500000	3.000000	-0.334501	-0.296607	3.731047
46	4	9.387755	0.816327	5.000000	0.500000	3.000000	-0.474945	0.241322	5.274613
47	4	9.591837	0.816327	5.000000	0.500000	3.000000	-0.653329	-1.151014	1.008413
48	4	9.795918	0.816327	5.000000	0.500000	3.000000	1.765454	0.386323	6.829817
49	4	10.000000	0.816327	5.000000	0.500000	3.000000	0.404982	-0.204471	4.377197
0	5	0.000000	1.020408	0.000000	4.000000	-3.000000	-1.260884	1.755476	-10.521843
1	5	0.204082	1.020408	0.000000	4.000000	-3.000000	0.917862	1.573020	-1.259491
2	5	0.408163	1.020408	0.000000	4.000000	-3.000000	2.122156	-0.465806	9.674162
3	5	0.612245	1.020408	0.000000	4.000000	-3.000000	1.032465	-0.150838	4.370494
4	5	0.816327	1.020408	0.000000	4.000000	-3.000000	-1.519370	-0.073948	-6.067517
5	5	1.020408	1.020408	0.000000	4.000000	-3.000000	-0.484234	-0.451659	-0.793838
6	5	1.224490	1.020408	0.000000	4.000000	-3.000000	1.266911	0.195025	4.270690
7	5	1.428571	1.020408	0.000000	4.000000	-3.000000	-0.707669	-0.758282	-0.767711
8	5	1.632653	1.020408	0.000000	4.000000	-3.000000	0.443819	-1.130615	4.955244
9	5	1.836735	1.020408	0.000000	4.000000	-3.000000	0.774634	0.622711	1.018523
10	5	2.040816	1.020408	0.000000	4.000000	-3.000000	-0.926930	0.629530	-5.808190
11	5	2.244898	1.020408	0.000000	4.000000	-3.000000	-0.059525	-0.804316	1.962966
12	5	2.448980	1.020408	0.000000	4.000000	-3.000000	-3.241267	0.895355	-15.863015
13	5	2.653061	1.020408	0.000000	4.000000	-3.000000	-1.024388	-0.631578	-2.414697
14	5	2.857143	1.020408	0.000000	4.000000	-3.000000	-0.252568	0.253165	-1.981648
15	5	3.061224	1.020408	1.000000	2.000000	-0.500000	-1.247783	0.820344	-2.117618
16	5	3.265306	1.020408	1.000000	2.000000	-0.500000	1.632411	-0.033613	4.069749
17	5	3.469388	1.020408	1.000000	2.000000	-0.500000	-1.430141	0.454741	-2.299533
18	5	3.673469	1.020408	1.000000	2.000000	-0.500000	-0.440044	-0.516430	0.166246
19	5	3.877551	1.020408	1.000000	2.000000	-0.500000	0.130741	-0.196467	1.147835
20	5	4.081633	1.020408	1.000000	2.000000	-0.500000	1.441273	-0.205859	3.773596
21	5	4.285714	1.020408	1.000000	2.000000	-0.500000	-1.435862	-0.746578	-1.710315
22	5	4.489796	1.020408	1.000000	2.000000	-0.500000	1.163164	-0.176774	3.202835
23	5	4.693878	1.020408	1.000000	2.000000	-0.500000	0.010233	-1.548618	1.582895
24	5	4.897959	1.020408	1.000000	2.000000	-0.500000	-0.981509	-0.491154	-0.929320
25	5	5.102041	1.020408	1.000000	2.000000	-0.500000	0.462103	-0.284875	1.854765
26	5	5.306122	1.020408	1.000000	2.000000	-0.500000	0.199060	-0.256180	1.314329
27	5	5.510204	1.020408	1.000000	2.000000	-0.500000	-0.600217	-0.241497	-0.291565
28	5	5.714286	1.020408	1.000000	2.000000	-0.500000	0.069802	-0.061764	0.958606
29	5	5.918367	1.020408	1.000000	2.000000	-0.500000	-0.385314	0.479442	-0.222228
30	5	6.122449	1.020408	1.000000	2.000000	-0.500000	0.113517	0.874517	0.577896
31	5	6.326531	1.020408	1.000000	2.000000	-0.500000	0.662131	-0.649765	2.437264
32	5	6.530612	1.020408	1.000000	2.000000	-0.500000	1.586017	-1.203201	4.561754
33	5	6.734694	1.020408	1.000000	2.000000	-0.500000	-1.237815	-1.042044	-1.166489
34	5	6.938776	1.020408	1.000000	2.000000	-0.500000	2.133033	-0.487203	5.297788
35	5	7.142857	1.020408	5.000000	0.500000	3.000000	-1.952088	-0.351921	2.756312
36	5	7.346939	1.020408	5.000000	0.500000	3.000000	-0.151785	-0.769996	2.402239
37	5	7.551020	1.020408	5.000000	0.500000	3.000000	0.588317	-1.296117	1.193929
38	5	7.755102	1.020408	5.000000	0.500000	3.000000	0.280992	-0.456121	3.560254
39	5	7.959184	1.020408	5.000000	0.500000	3.000000	-0.622700	0.181427	5.021050
40	5	8.163265	1.020408	5.000000	0.500000	3.000000	-0.208122	0.595029	6.469147
41	5	8.367347	1.020408	5.000000	0.500000	3.000000	-0.493001	-0.557423	2.869351
42	5	8.571429	1.020408	5.000000	0.500000	3.000000	-0.589365	-0.412998	3.254444
43	5	8.775510	1.020408	5.000000	0.500000	3.000000	0.849602	-0.926698	2.432826
44	5	8.979592	1.020408	5.000000	0.500000	3.000000	0.357015	-0.031439	4.872310
45	5	9.183673	1.020408	5.000000	0.500000	3.000000	-0.692910	-0.848429	1.896379
46	5	9.387755	1.020408	5.000000	0.500000	3.000000	0.899600	0.573128	6.957304
47	5	9.591837	1.020408	5.000000	0.500000	3.000000	0.307300	-1.785866	-0.415830
48	5	9.795918	1.020408	5.000000	0.500000	3.000000	0.812862	-0.359630	4.115662
49	5	10.000000	1.020408	5.000000	0.500000	3.000000	0.629629	0.301107	6.006257
0	6	0.000000	1.224490	0.000000	4.000000	-3.000000	-0.828995	0.183835	-4.079363
1	6	0.204082	1.224490	0.000000	4.000000	-3.000000	-0.560181	2.693034	-10.531705
2	6	0.408163	1.224490	0.000000	4.000000	-3.000000	0.747294	0.349800	1.727895
