u	v	x_coord	y_coord	coef0	coef1	feat1	y
43	0	1.281718	-1.697410	3.000000	1.871233	0.287272	4.490044
44	0	1.351000	-1.697410	3.000000	1.927353	1.730396	7.476115
45	0	1.420282	-1.697410	3.000000	1.994595	1.680586	6.518108
46	0	1.489564	-1.697410	3.000000	2.073667	-1.510020	-2.165348
47	0	1.558846	-1.697410	3.000000	2.165172	-1.207626	1.920017
48	0	1.628128	-1.697410	3.000000	2.269524	0.221053	3.247118
49	0	1.697410	-1.697410	3.000000	2.386850	0.214591	5.985718
0	1	-1.697410	-1.628128	3.000000	2.888374	1.562176	6.581529
1	1	-1.628128	-1.628128	3.000000	3.046733	0.113107	4.498353
2	1	-1.558846	-1.628128	3.000000	3.175014	-0.819269	0.622439
3	1	-1.489564	-1.628128	3.000000	3.273443	-0.792686	0.280922
4	1	-1.420282	-1.628128	3.000000	3.343161	-0.354091	3.764673
5	1	-1.351000	-1.628128	3.000000	3.386058	1.290272	8.317200
6	1	-1.281718	-1.628128	3.000000	3.404606	-1.462860	-2.315266
7	1	-1.212436	-1.628128	3.000000	3.401664	-0.132730	3.021433
8	1	-1.143154	-1.628128	3.000000	3.380303	-0.310205	2.425876
9	1	-1.073872	-1.628128	3.000000	3.343638	1.674651	8.954571
10	1	-1.004589	-1.628128	3.000000	3.294679	-0.646805	1.038230
11	1	-0.935307	-1.628128	3.000000	3.236215	-1.155990	-0.625375
12	1	-0.866025	-1.628128	3.000000	3.170729	0.529098	4.840459
13	1	-0.796743	-1.628128	3.000000	3.100341	-1.543300	-0.905764
14	1	-0.727461	-1.628128	3.000000	3.026792	0.849694	4.472070
15	1	-0.658179	-1.628128	3.000000	2.951448	-0.745206	-0.628202
16	1	-0.588897	-1.628128	3.000000	2.875332	1.751972	6.868315
17	1	-0.519615	-1.628128	3.000000	2.799177	0.626162	4.305715
18	1	-0.450333	-1.628128	3.000000	2.723484	1.166176	5.866969
19	1	-0.381051	-1.628128	3.000000	2.648592	-0.715268	2.720662
20	1	-0.311769	-1.628128	3.000000	2.574742	0.390191	4.178351
21	1	-0.242487	-1.628128	3.000000	2.502132	1.576489	8.233664
22	1	-0.173205	-1.628128	3.000000	2.430972	-0.909594	0.339518
23	1	-0.103923	-1.628128	3.000000	2.361511	-0.995644	1.452474
24	1	-0.034641	-1.628128	3.000000	2.294057	-1.661740	-0.065878
25	1	0.034641	-1.628128	3.000000	2.228983	1.625431	6.857304
26	1	0.103923	-1.628128	3.000000	2.166718	-0.173537	1.659883
27	1	0.173205	-1.628128	3.000000	2.107725	-0.146442	3.122357
28	1	0.242487	-1.628128	3.000000	2.052476	1.545756	5.494527
29	1	0.311769	-1.628128	3.000000	2.001429	-0.155797	1.851312
30	1	0.381051	-1.628128	3.000000	1.954997	-0.931925	-0.008189
31	1	0.450333	-1.628128	3.000000	1.913531	1.329268	6.428211
32	1	0.519615	-1.628128	3.000000	1.877311	-1.569196	0.397641
33	1	0.588897	-1.628128	3.000000	1.846540	1.471086	6.220061
34	1	0.658179	-1.628128	3.000000	1.821365	-1.133919	1.107245
35	1	0.727461	-1.628128	3.000000	1.801893	0.661489	4.275140
36	1	0.796743	-1.628128	3.000000	1.788224	-1.274344	2.402525
37	1	0.866025	-1.628128	3.000000	1.780492	-0.410505	2.788955
38	1	0.935307	-1.628128	3.000000	1.778905	0.324972	2.806842
39	1	1.004589	-1.628128	3.000000	1.783780	0.734445	3.580208
40	1	1.073872	-1.628128	3.000000	1.795576	0.128656	2.391840
41	1	1.143154	-1.628128	3.000000	1.814912	0.376129	4.252999
42	1	1.212436	-1.628128	3.000000	1.842566	0.886150	3.693922
43	1	1.281718	-1.628128	3.000000	1.879465	1.489111	6.492899
44	1	1.351000	-1.628128	3.000000	1.926640	-0.749274	0.926604
45	1	1.420282	-1.628128	3.000000	1.985173	-0.671987	2.211665
46	1	1.489564	-1.628128	3.000000	2.056113	-1.233217	0.685242
47	1	1.558846	-1.628128	3.000000	2.140391	-0.846251	0.329870
48	1	1.628128	-1.628128	3.000000	2.238705	0.077771	2.187697
49	1	1.697410	-1.628128	3.000000	2.351418	1.737688	6.399898
0	2	-1.697410	-1.558846	3.000000	2.762899	0.230117	3.147788
1	2	-1.628128	-1.558846	3.000000	2.908825	1.122175	5.889621
2	2	-1.558846	-1.558846	3.000000	3.026522	1.147807	5.125081
3	2	-1.489564	-1.558846	3.000000	3.116443	-0.137184	2.188886
4	2	-1.420282	-1.558846	3.000000	3.179875	1.763359	8.851799
5	2	-1.351000	-1.558846	3.000000	3.218779	-0.486689	0.900115
6	2	-1.281718	-1.558846	3.000000	3.235620	1.365814	6.959477
7	2	-1.212436	-1.558846	3.000000	3.233183	1.443736	7.369354
8	2	-1.143154	-1.558846	3.000000	3.214408	0.673780	4.622745
9	2	-1.073872	-1.558846	3.000000	3.182226	0.075461	3.333935
10	2	-1.004589	-1.558846	3.000000	3.139434	-0.407745	2.888868
11	2	-0.935307	-1.558846	3.000000	3.088586	0.541745	3.629218
12	2	-0.866025	-1.558846	3.000000	3.031921	-1.258310	-1.356634
13	2	-0.796743	-1.558846	3.000000	2.971323	0.826420	5.904973
14	2	-0.727461	-1.558846	3.000000	2.908308	-1.334720	-2.197017
15	2	-0.658179	-1.558846	3.000000	2.844044	1.045479	7.576461
16	2	-0.588897	-1.558846	3.000000	2.779381	-1.031103	-1.543387
17	2	-0.519615	-1.558846	3.000000	2.714908	0.539994	4.883948
18	2	-0.450333	-1.558846	3.000000	2.651014	-0.268816	1.766594
19	2	-0.381051	-1.558846	3.000000	2.587948	0.372338	4.525421
20	2	-0.311769	-1.558846	3.000000	2.525882	0.299067	5.333793
21	2	-0.242487	-1.558846	3.000000	2.464961	-1.384925	-0.565402
22	2	-0.173205	-1.558846	3.000000	2.405343	-0.294799	2.596162
23	2	-0.103923	-1.558846	3.000000	2.347225	-0.443109	1.780930
24	2	-0.034641	-1.558846	3.000000	2.290853	1.760662	7.080819
25	2	0.034641	-1.558846	3.000000	2.236522	0.047844	3.107570
26	2	0.103923	-1.558846	3.000000	2.184561	-0.708306	1.440214
27	2	0.173205	-1.558846	3.000000	2.135314	0.465659	3.189421
28	2	0.242487	-1.558846	3.000000	2.089115	-0.397274	2.996220
29	2	0.311769	-1.558846	3.000000	2.046262	-0.034783	2.951958
30	2	0.381051	-1.558846	3.000000	2.007000	-0.859214	1.309155
31	2	0.450333	-1.558846	3.000000	1.971510	0.626889	4.887078
32	2	0.519615	-1.558846	3.000000	1.939906	1.595343	6.236575
33	2	0.588897	-1.558846	3.000000	1.912246	1.202167	5.887435
34	2	0.658179	-1.558846	3.000000	1.888556	1.231978	5.629478
35	2	0.727461	-1.558846	3.000000	1.868863	0.982122	3.930640
36	2	0.796743	-1.558846	3.000000	1.853238	0.320006	3.022786
37	2	0.866025	-1.558846	3.000000	1.841839	-1.693018	-0.470616
38	2	0.935307	-1.558846	3.000000	1.834957	1.624179	5.327675
39	2	1.004589	-1.558846	3.000000	1.833056	-0.998965	2.131614
40	2	1.073872	-1.558846	3.000000	1.836800	0.567996	5.105173
41	2	1.143154	-1.558846	3.000000	1.847067	1.536280	7.237669
42	2	1.212436	-1.558846	3.000000	1.864946	0.690860	4.822273
43	2	1.281718	-1.558846	3.000000	1.891702	-0.132423	3.071136
44	2	1.351000	-1.558846	3.000000	1.928730	-0.276388	2.526801
45	2	1.420282	-1.558846	3.000000	1.977479	1.336180	5.862024
46	2	1.489564	-1.558846	3.000000	2.039360	-0.498690	1.140756
47	2	1.558846	-1.558846	3.000000	2.115630	-1.381928	-0.301367
48	2	1.628128	-1.558846	3.000000	2.207281	1.496346	7.594039
49	2	1.697410	-1.558846	3.000000	2.314907	0.816118	5.116267
0	3	-1.697410	-1.489564	3.000000	2.627270	-0.916780	0.956175
1	3	-1.628128	-1.489564	3.000000	2.759548	1.309042	6.548204
2	3	-1.558846	-1.489564	3.000000	2.865660	-0.216215	0.240436
3	3	-1.489564	-1.489564	3.000000	2.946296	-0.120673	2.328896
4	3	-1.420282	-1.489564	3.000000	3.002899	-0.164510	2.380726
5	3	-1.351000	-1.489564	3.000000	3.037504	1.182021	7.412912
6	3	-1.281718	-1.489564	3.000000	3.052569	-0.475155	0.983748
7	3	-1.212436	-1.489564	3.000000	3.050803	1.018697	6.598969
8	3	-1.143154	-1.489564	3.000000	3.035005	-0.189660	2.501771
9	3	-1.073872	-1.489564	3.000000	3.007919	-0.412584	2.018908
10	3	-1.004589	-1.489564	3.000000	2.972114	0.138657	2.276850
11	3	-0.935307	-1.489564	3.000000	2.929898	1.472106	7.214562
12	3	-0.866025	-1.489564	3.000000	2.883252	0.911240	8.266472
13	3	-0.796743	-1.489564	3.000000	2.833807	-1.594240	-0.843996
14	3	-0.727461	-1.489564	3.000000	2.782837	0.507305	4.711256
15	3	-0.658179	-1.489564	3.000000	2.731288	0.486927	4.011931
16	3	-0.588897	-1.489564	3.000000	2.679818	-0.439080	3.415414
17	3	-0.519615	-1.489564	3.000000	2.628847	0.630944	4.093139
18	3	-0.450333	-1.489564	3.000000	2.578623	-0.915937	1.214543
19	3	-0.381051	-1.489564	3.000000	2.529280	-0.882502	2.054620
20	3	-0.311769	-1.489564	3.000000	2.480890	-1.325278	1.475504
21	3	-0.242487	-1.489564	3.000000	2.433511	-1.512497	-0.476113
22	3	-0.173205	-1.489564	3.000000	2.387222	-0.093972	1.260764
23	3	-0.103923	-1.489564	3.000000	2.342132	1.596649	7.349982
24	3	-0.034641	-1.489564	3.000000	2.298398	-1.337355	0.793035
25	3	0.034641	-1.489564	3.000000	2.256205	0.371548	3.470363
26	3	0.103923	-1.489564	3.000000	2.215760	0.652643	4.037766
27	3	0.173205	-1.489564	3.000000	2.177266	0.709174	5.537181
28	3	0.242487	-1.489564	3.000000	2.140898	0.179093	3.331195
29	3	0.311769	-1.489564	3.000000	2.106786	0.447135	3.848306
30	3	0.381051	-1.489564	3.000000	2.075002	1.319888	7.185641
31	3	0.450333	-1.489564	3.000000	2.045554	-0.584646	0.484182
32	3	0.519615	-1.489564	3.000000	2.018398	1.514895	6.894913
33	3	0.588897	-1.489564	3.000000	1.993457	-1.363368	1.967454
34	3	0.658179	-1.489564	3.000000	1.970657	1.185283	5.735427
35	3	0.727461	-1.489564	3.000000	1.949969	-1.289194	1.158806
36	3	0.796743	-1.489564	3.000000	1.931459	0.384954	4.453499
37	3	0.866025	-1.489564	3.000000	1.915340	0.157309	2.711008
38	3	0.935307	-1.489564	3.000000	1.902017	-0.219650	3.599508
39	3	1.004589	-1.489564	3.000000	1.892133	-0.465121	3.153239
40	3	1.073872	-1.489564	3.000000	1.886591	0.565234	4.376316
41	3	1.143154	-1.489564	3.000000	1.886558	0.313750	3.178450
42	3	1.212436	-1.489564	3.000000	1.893457	-1.005351	0.521821
43	3	1.281718	-1.489564	3.000000	1.908918	-1.388830	2.116036
44	3	1.351000	-1.489564	3.000000	1.934719	-1.477139	0.406305
45	3	1.420282	-1.489564	3.000000	1.972693	-1.629718	2.432707
46	3	1.489564	-1.489564	3.000000	2.024618	0.430220	4.921959
47	3	1.558846	-1.489564	3.000000	2.092092	-0.302334	0.832838
48	3	1.628128	-1.489564	3.000000	2.176395	1.358733	5.433816
49	3	1.697410	-1.489564	3.000000	2.278359	-1.577082	-0.804908
0	4	-1.697410	-1.420282	3.000000	2.483525	-0.068448	4.112167
1	4	-1.628128	-1.420282	3.000000	2.601228	1.437205	5.972719
2	4	-1.558846	-1.420282	3.000000	2.695007	-0.236104	-0.220093
3	4	-1.489564	-1.420282	3.000000	2.765795	0.537517	4.520188
4	4	-1.420282	-1.420282	3.000000	2.815192	-1.282882	-2.951259
5	4	-1.351000	-1.420282	3.000000	2.845306	0.321715	6.267220
6	4	-1.281718	-1.420282	3.000000	2.858586	0.002490	3.092211
7	4	-1.212436	-1.420282	3.000000	2.857658	0.766932	5.275960
8	4	-1.143154	-1.420282	3.000000	2.845175	-0.112948	2.676278
9	4	-1.073872	-1.420282	3.000000	2.823683	-0.832246	0.960119
10	4	-1.004589	-1.420282	3.000000	2.795520	-0.661620	0.656936
11	4	-0.935307	-1.420282	3.000000	2.762733	1.008527	6.210934
12	4	-0.866025	-1.420282	3.000000	2.727039	0.043273	4.390245
13	4	-0.796743	-1.420282	3.000000	2.689802	-1.186720	0.243295
14	4	-0.727461	-1.420282	3.000000	2.652047	-1.039897	0.864726
15	4	-0.658179	-1.420282	3.000000	2.614484	0.955546	4.740672
16	4	-0.588897	-1.420282	3.000000	2.577561	0.571005	2.886319
17	4	-0.519615	-1.420282	3.000000	2.541516	-1.036698	1.168583
18	4	-0.450333	-1.420282	3.000000	2.506440	1.754166	6.109372
19	4	-0.381051	-1.420282	3.000000	2.472327	0.989171	4.806996
20	4	-0.311769	-1.420282	3.000000	2.439131	1.609387	7.411394
21	4	-0.242487	-1.420282	3.000000	2.406801	-1.134634	-0.334025
22	4	-0.173205	-1.420282	3.000000	2.375307	-0.908519	0.508496
23	4	-0.103923	-1.420282	3.000000	2.344651	0.617503	3.234111
24	4	-0.034641	-1.420282	3.000000	2.314871	1.022778	6.287744
25	4	0.034641	-1.420282	3.000000	2.286023	-1.638310	-0.292179
26	4	0.103923	-1.420282	3.000000	2.258166	-0.239632	2.169427
27	4	0.173205	-1.420282	3.000000	2.231343	1.486776	5.846207
28	4	0.242487	-1.420282	3.000000	2.205556	0.355492	3.506217
29	4	0.311769	-1.420282	3.000000	2.180754	0.010826	3.779648
30	4	0.381051	-1.420282	3.000000	2.156825	1.255712	5.948091
31	4	0.450333	-1.420282	3.000000	2.133604	1.507916	5.289269
32	4	0.519615	-1.420282	3.000000	2.110891	-0.118186	2.677418
33	4	0.588897	-1.420282	3.000000	2.088483	-1.043237	1.363374
34	4	0.658179	-1.420282	3.000000	2.066216	0.637554	6.398579
35	4	0.727461	-1.420282	3.000000	2.044020	-0.557254	0.474081
36	4	0.796743	-1.420282	3.000000	2.021977	-0.688902	1.861131
37	4	0.866025	-1.420282	3.000000	2.000374	-0.558252	1.571964
38	4	0.935307	-1.420282	3.000000	1.979757	0.749431	4.682457
39	4	1.004589	-1.420282	3.000000	1.960970	-0.453674	2.085470
40	4	1.073872	-1.420282	3.000000	1.945175	-0.967601	-0.711029
41	4	1.143154	-1.420282	3.000000	1.933855	-0.298373	2.905300
42	4	1.212436	-1.420282	3.000000	1.928784	-0.221803	3.038411
43	4	1.281718	-1.420282	3.000000	1.931975	0.447975	3.817195
44	4	1.351000	-1.420282	3.000000	1.945604	0.841998	4.535739
45	4	1.420282	-1.420282	3.000000	1.971897	-1.484624	-1.275472
46	4	1.489564	-1.420282	3.000000	2.013009	0.470128	3.731166
47	4	1.558846	-1.420282	3.000000	2.070883	0.126174	2.747734
48	4	1.628128	-1.420282	3.000000	2.147095	0.195438	2.069449
49	4	1.697410	-1.420282	3.000000	2.242711	1.307730	6.708321
0	5	-1.697410	-1.351000	3.000000	2.333657	-0.067524	1.463808
1	5	-1.628128	-1.351000	3.000000	2.436171	0.243801	5.581891
2	5	-1.558846	-1.351000	3.000000	2.517147	0.112470	5.087364
3	5	-1.489564	-1.351000	3.000000	2.577759	-1.444707	-0.800965
4	5	-1.420282	-1.351000	3.000000	2.619762	-0.357353	2.028873
5	5	-1.351000	-1.351000	3.000000	2.645331	-1.488883	0.051720
6	5	-1.281718	-1.351000	3.000000	2.656896	0.735097	5.877062
7	5	-1.212436	-1.351000	3.000000	2.656994	0.793963	5.672839
8	5	-1.143154	-1.351000	3.000000	2.648122	-1.459125	-0.610019
9	5	-1.073872	-1.351000	3.000000	2.632625	1.447911	5.646892
10	5	-1.004589	-1.351000	3.000000	2.612597	0.791827	4.363316
11	5	-0.935307	-1.351000	3.000000	2.589824	1.226624	5.328862
12	5	-0.866025	-1.351000	3.000000	2.565752	-1.367740	0.099179
13	5	-0.796743	-1.351000	3.000000	2.541474	0.284802	2.160765
14	5	-0.727461	-1.351000	3.000000	2.517757	0.324473	4.876128
15	5	-0.658179	-1.351000	3.000000	2.495075	0.713482	5.694183
16	5	-0.588897	-1.351000	3.000000	2.473660	1.269349	3.847224
17	5	-0.519615	-1.351000	3.000000	2.453559	0.158651	2.318409
18	5	-0.450333	-1.351000	3.000000	2.434694	1.195819	5.126842
19	5	-0.381051	-1.351000	3.000000	2.416913	0.279381	6.994274
20	5	-0.311769	-1.351000	3.000000	2.400037	0.209293	4.349117
21	5	-0.242487	-1.351000	3.000000	2.383888	-1.468057	0.910536
22	5	-0.173205	-1.351000	3.000000	2.368315	1.648875	6.875286
23	5	-0.103923	-1.351000	3.000000	2.353193	-1.057132	0.705574
24	5	-0.034641	-1.351000	3.000000	2.338422	-1.575678	-0.720857
25	5	0.034641	-1.351000	3.000000	2.323908	-1.370788	-0.833047
26	5	0.103923	-1.351000	3.000000	2.309548	1.477720	5.731149
27	5	0.173205	-1.351000	3.000000	2.295205	1.309060	6.994955
28	5	0.242487	-1.351000	3.000000	2.280694	0.605564	4.313910
29	5	0.311769	-1.351000	3.000000	2.265768	-1.615051	-1.967028
30	5	0.381051	-1.351000	3.000000	2.250127	0.909309	4.767413
31	5	0.450333	-1.351000	3.000000	2.233426	1.620869	7.024010
32	5	0.519615	-1.351000	3.000000	2.215306	-0.079585	3.468277
33	5	0.588897	-1.351000	3.000000	2.195439	-0.859781	1.165089
34	5	0.658179	-1.351000	3.000000	2.173577	1.235118	5.398362
35	5	0.727461	-1.351000	3.000000	2.149621	1.637347	5.824094
36	5	0.796743	-1.351000	3.000000	2.123674	-1.653876	0.190574
37	5	0.866025	-1.351000	3.000000	2.096116	-0.484532	1.756917
38	5	0.935307	-1.351000	3.000000	2.067645	0.146583	3.335036
39	5	1.004589	-1.351000	3.000000	2.039321	-0.606580	2.382543
40	5	1.073872	-1.351000	3.000000	2.012583	1.388622	7.133095
41	5	1.143154	-1.351000	3.000000	1.989237	0.259016	2.798651
42	5	1.212436	-1.351000	3.000000	1.971425	1.080471	5.913662
43	5	1.281718	-1.351000	3.000000	1.961553	1.139697	6.385398
44	5	1.351000	-1.351000	3.000000	1.962200	0.859332	5.577176
45	5	1.420282	-1.351000	3.000000	1.975996	-1.466545	1.685016
46	5	1.489564	-1.351000	3.000000	2.005478	-0.219005	4.878822
47	5	1.558846	-1.351000	3.000000	2.052936	-0.012177	1.399819
48	5	1.628128	-1.351000	3.000000	2.120246	1.540185	7.094760
49	5	1.697410	-1.351000	3.000000	2.208712	-0.210350	3.942673
0	6	-1.697410	-1.281718	3.000000	2.179614	-1.670977	-1.783114
1	6	-1.628128	-1.281718	3.000000	2.266651	0.073524	2.388532
2	6	-1.558846	-1.281718	3.000000	2.334648	0.327282	4.560164
3	6	-1.489564	-1.281718	3.000000	2.385012	-0.029000	1.381716
4	6	-1.420282	-1.281718	3.000000	2.419641	-0.683002	-0.333732
5	6	-1.351000	-1.281718	3.000000	2.440762	1.300519	5.248313
6	6	-1.281718	-1.281718	3.000000	2.450780	-1.335654	-0.163026
7	6	-1.212436	-1.281718	3.000000	2.452128	-0.878086	0.733686
8	6	-1.143154	-1.281718	3.000000	2.447142	0.714063	4.463255
9	6	-1.073872	-1.281718	3.000000	2.437952	1.743040	7.964179
10	6	-1.004589	-1.281718	3.000000	2.426411	-1.398196	-0.755989
11	6	-0.935307	-1.281718	3.000000	2.414038	-0.646330	0.774896
12	6	-0.866025	-1.281718	3.000000	2.402005	-0.395891	2.589018
13	6	-0.796743	-1.281718	3.000000	2.391139	1.693899	8.378232
14	6	-0.727461	-1.281718	3.000000	2.381949	1.156301	5.252475
15	6	-0.658179	-1.281718	3.000000	2.374675	-1.242137	0.696709
16	6	-0.588897	-1.281718	3.000000	2.369334	-0.498979	2.434674
17	6	-0.519615	-1.281718	3.000000	2.365785	-0.316680	3.476687
18	6	-0.450333	-1.281718	3.000000	2.363781	0.983084	3.437081
19	6	-0.381051	-1.281718	3.000000	2.363020	-1.599512	-1.354302
20	6	-0.311769	-1.281718	3.000000	2.363185	-0.390936	2.460398
21	6	-0.242487	-1.281718	3.000000	2.363968	-1.529695	-0.382499
22	6	-0.173205	-1.281718	3.000000	2.365085	-0.501653	0.741151
23	6	-0.103923	-1.281718	3.000000	2.366272	1.696837	7.119966
24	6	-0.034641	-1.281718	3.000000	2.367281	0.656759	3.050770
25	6	0.034641	-1.281718	3.000000	2.367856	0.377164	4.209341
26	6	0.103923	-1.281718	3.000000	2.367714	-0.381032	3.629678
27	6	0.173205	-1.281718	3.000000	2.366526	0.817887	5.743168
28	6	0.242487	-1.281718	3.000000	2.363906	1.586862	6.391718
29	6	0.311769	-1.281718	3.000000	2.359402	-0.100097	3.256170
30	6	0.381051	-1.281718	3.000000	2.352512	-0.770470	1.786075
31	6	0.450333	-1.281718	3.000000	2.342704	-0.324129	2.256236
32	6	0.519615	-1.281718	3.000000	2.329457	1.648804	8.016591
33	6	0.588897	-1.281718	3.000000	2.312312	-0.736283	1.834615
34	6	0.658179	-1.281718	3.000000	2.290941	-1.687244	-1.456407
35	6	0.727461	-1.281718	3.000000	2.265211	1.536675	7.469092
36	6	0.796743	-1.281718	3.000000	2.235256	-0.998906	3.066948
37	6	0.866025	-1.281718	3.000000	2.201549	-1.241184	-0.567515
38	6	0.935307	-1.281718	3.000000	2.164946	-0.016795	4.568135
39	6	1.004589	-1.281718	3.000000	2.126730	-1.484633	-0.450827
40	6	1.073872	-1.281718	3.000000	2.088621	0.302047	5.148701
41	6	1.143154	-1.281718	3.000000	2.052756	1.613320	5.433643
42	6	1.212436	-1.281718	3.000000	2.021645	1.469239	5.964974
43	6	1.281718	-1.281718	3.000000	1.998093	0.181256	2.801251
44	6	1.351000	-1.281718	3.000000	1.985085	-0.247604	2.009505
45	6	1.420282	-1.281718	3.000000	1.985656	-1.009054	2.296215
46	6	1.489564	-1.281718	3.000000	2.002727	-1.263318	-1.994301
47	6	1.558846	-1.281718	3.000000	2.038937	0.545733	5.797403
48	6	1.628128	-1.281718	3.000000	2.096464	1.259362	5.957173
49	6	1.697410	-1.281718	3.000000	2.176859	-0.486690	3.182384
0	7	-1.697410	-1.212436	3.000000	2.023301	0.142031	2.444973
1	7	-1.628128	-1.212436	3.000000	2.094909	-1.190449	-0.199889
2	7	-1.558846	-1.212436	3.000000	2.150055	1.519974	6.010612
3	7	-1.489564	-1.212436	3.000000	2.190364	-0.294340	3.170786
4	7	-1.420282	-1.212436	3.000000	2.217856	-1.696925	-0.554231
5	7	-1.351000	-1.212436	3.000000	2.234796	0.630641	5.137634
6	7	-1.281718	-1.212436	3.000000	2.243545	-1.527968	1.400198
7	7	-1.212436	-1.212436	3.000000	2.246421	-0.111621	3.802184
8	7	-1.143154	-1.212436	3.000000	2.245586	0.877294	5.910397
9	7	-1.073872	-1.212436	3.000000	2.242953	0.478518	4.428570
10	7	-1.004589	-1.212436	3.000000	2.240124	0.726711	5.806233
11	7	-0.935307	-1.212436	3.000000	2.238355	-0.433951	1.535897
12	7	-0.866025	-1.212436	3.000000	2.238547	1.648025	6.156550
13	7	-0.796743	-1.212436	3.000000	2.241265	-0.429181	2.386812
14	7	-0.727461	-1.212436	3.000000	2.246772	1.194451	5.122551
15	7	-0.658179	-1.212436	3.000000	2.255078	-1.457787	-1.300293
16	7	-0.588897	-1.212436	3.000000	2.265999	0.674056	4.219394
17	7	-0.519615	-1.212436	3.000000	2.279212	-0.043046	2.480050
18	7	-0.450333	-1.212436	3.000000	2.294310	1.684617	5.915628
19	7	-0.381051	-1.212436	3.000000	2.310848	0.156708	3.619956
20	7	-0.311769	-1.212436	3.000000	2.328375	-1.006315	0.410299
21	7	-0.242487	-1.212436	3.000000	2.346453	0.380067	4.638528
22	7	-0.173205	-1.212436	3.000000	2.364665	0.778896	5.020390
23	7	-0.103923	-1.212436	3.000000	2.382606	1.178034	4.450605
24	7	-0.034641	-1.212436	3.000000	2.399871	1.563815	7.154610
25	7	0.034641	-1.212436	3.000000	2.416033	-0.412008	2.037988
26	7	0.103923	-1.212436	3.000000	2.430623	1.741430	7.528977
27	7	0.173205	-1.212436	3.000000	2.443108	-1.507329	0.776409
28	7	0.242487	-1.212436	3.000000	2.452889	0.037332	4.004372
29	7	0.311769	-1.212436	3.000000	2.459299	1.427068	7.432903
30	7	0.381051	-1.212436	3.000000	2.461623	-0.569406	3.480968
31	7	0.450333	-1.212436	3.000000	2.459134	-1.083492	0.587829
32	7	0.519615	-1.212436	3.000000	2.451137	-1.074104	1.279787
33	7	0.588897	-1.212436	3.000000	2.437040	-0.734073	0.860783
34	7	0.658179	-1.212436	3.000000	2.416423	-1.702762	-1.786014
